Date,Close,High,Low,Open,Volume
2026-04-29,24.200000762939453,24.489999771118164,22.010000228881836,24.0,3286100
2026-04-30,28.0,32.5,25.0,25.350000381469727,2357900
2026-05-01,37.9900016784668,38.27000045776367,29.40999984741211,29.8799991607666,2167700
2026-05-04,34.209999084472656,38.27000045776367,32.349998474121094,38.0,2208100
2026-05-05,32.970001220703125,35.97999954223633,31.5,34.25,1319800
2026-05-06,33.0,33.0,29.270000457763672,32.58000183105469,920800
2026-05-07,35.939998626708984,36.0,31.559999465942383,33.09000015258789,572500
2026-05-08,41.619998931884766,42.439998626708984,34.599998474121094,35.97999954223633,936200
2026-05-11,52.09000015258789,54.939998626708984,40.849998474121094,40.869998931884766,1224100
2026-05-12,50.83000183105469,54.279998779296875,47.77000045776367,49.0,687300
